kernel,seq_len,head_dim,iterations,elapsed_ms,gflops,bandwidth_gb_s,checksum
serial_scaled_dot_product_attention,256,64,20,362.248,0.933519,0.086839,-46.0752
serial_rope_attention,256,64,20,369.673,0.92009,0.0992775,-45.6105

serial,128,64,50,4.4838,0.953705,0.146162,
parallel,128,64,50,0.262084,16.3162,2.50057,

serial,256,64,50,18.2058,0.934129,0.100792,
parallel,256,64,50,0.330984,51.3819,5.54409,

serial,512,64,50,73.2355,0.926187,0.0787482,
parallel,512,64,50,0.587482,115.458,9.81676,

serial,1024,64,50,297.227,0.91151,0.0670293,
parallel,1024,64,50,1.28502,210.834,15.504,

serial,2048,64,50,1234.15,0.877457,0.0594742,
parallel,2048,64,50,3.68499,293.873,19.9187,
